Model,Role,CV Score,Accuracy,Macro Precision,Macro Recall,Macro F1,change_precision,change_recall,change_f1,incident_precision,incident_recall,incident_f1,problem_precision,problem_recall,problem_f1,request_precision,request_recall,request_f1,CV Penalty Cost,Best Parameters
Baseline (Majority Class),Baseline,,0.3975029036004646,0.09937572590011615,0.25,0.1422189902347808,0.0,0.0,0.0,0.3975029036004646,1.0,0.5688759609391232,0.0,0.0,0.0,0.0,0.0,0.0,,
Logistic Regression,Candidate,0.8546266071312759,0.860917537746806,0.8667090481890474,0.8627209380350539,0.8646750634685234,0.9629629629629629,0.9441340782122905,0.9534555712270804,0.8340579710144927,0.8407596785975164,0.8373954165150964,0.6885714285714286,0.6779184247538678,0.6832034018426648,0.981243830207305,0.9880715705765407,0.9846458642892522,,"{'tfidf__sublinear_tf': False, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 1, 'tfidf__max_df': 0.95, 'model__C': 50.0}"
Linear SVM,Candidate,0.8445433834758023,0.859465737514518,0.8691806211570554,0.8609171009475883,0.8649017078402683,0.9854227405247813,0.9441340782122905,0.9643366619115549,0.8269646719538573,0.8378378378378378,0.8323657474600871,0.6810344827586207,0.6666666666666666,0.673773987206823,0.9833005893909627,0.9950298210735586,0.9891304347826086,,"{'tfidf__sublinear_tf': False, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 1.0, 'model__C': 5.0}"
Multinomial Naive Bayes,Candidate,0.8248886507183105,0.8437862950058072,0.8601039990446167,0.8199942030876428,0.8335086293656634,0.9782608695652174,0.8798882681564246,0.9264705882352942,0.7753943217665615,0.8977355734112491,0.8320920785375762,0.7214428857715431,0.5063291139240507,0.5950413223140496,0.9653179190751445,0.9960238568588469,0.9804305283757339,,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 1.0, 'model__alpha': 0.001}"
SGD Classifier,Candidate,0.847781301248477,0.8626596980255516,0.8719784666174273,0.8616856576184404,0.8664913945524996,0.9826086956521739,0.946927374301676,0.9644381223328592,0.8242766407904023,0.8531775018261505,0.8384781048097631,0.6977443609022557,0.6526019690576652,0.6744186046511628,0.983284169124877,0.9940357852882704,0.9886307464162135,,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 2, 'tfidf__max_df': 1.0, 'model__alpha': 1e-05}"
Complement Naive Bayes,Candidate,0.7344413114541222,0.7979094076655052,0.8431012854659811,0.7340418103844177,0.7414196042410092,0.9640287769784173,0.7486033519553073,0.8427672955974843,0.7073434125269978,0.9569028487947406,0.8134119838559454,0.7922705314009661,0.23066104078762306,0.3572984749455338,0.9087624209575429,1.0,0.9522006625650734,,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 1.0, 'model__alpha': 0.001}"
