Model,Role,CV Score,Accuracy,Macro Precision,Macro Recall,Macro F1,Test Penalty Cost,Cost Per Ticket,high_precision,high_recall,high_f1,medium_precision,medium_recall,medium_f1,low_precision,low_recall,low_f1,CV Penalty Cost,Best Parameters
Baseline (Majority Class),Baseline,,0.4143437862950058,0.1381145954316686,0.3333333333333333,0.19530554985287074,34740,10.087108013937282,0.0,0.0,0.0,0.4143437862950058,1.0,0.5859166495586122,0.0,0.0,0.0,,
Logistic Regression,Candidate,-16499.0,0.6538908246225319,0.644549667337635,0.6385977420011417,0.6412415503283416,18873,5.479965156794425,0.6654438738077769,0.6886864085041762,0.676865671641791,0.6666666666666666,0.6685353889278206,0.6675997200839748,0.6015384615384616,0.5585714285714286,0.5792592592592593,16499.0,"{'tfidf__sublinear_tf': False, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 1, 'tfidf__max_df': 0.95, 'model__C': 50.0}"
Linear SVM,Candidate,-17335.8,0.6393728222996515,0.6287132641467196,0.6245761899719658,0.6264936164409208,20129,5.8446573751451805,0.6527259148618372,0.6636294608959757,0.6581325301204819,0.6551006245662734,0.6615276804484933,0.6582984658298466,0.5783132530120482,0.5485714285714286,0.5630498533724341,17335.8,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 0.9, 'model__C': 10.0}"
Multinomial Naive Bayes,Candidate,-16715.6,0.5969802555168409,0.6077843672043466,0.5530700039342188,0.5629190344108989,19800,5.7491289198606275,0.6151053013798112,0.6431283219438116,0.6288047512991833,0.5743680188124632,0.6846531184302733,0.6246803069053708,0.6338797814207651,0.3314285714285714,0.4352720450281426,16715.6,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 1.0, 'model__alpha': 0.001}"
SGD Classifier,Candidate,-16921.4,0.6559233449477352,0.6471939497144499,0.6368475036536647,0.6411267826918495,18445,5.355691056910569,0.6666666666666666,0.6985573272589218,0.682239525398591,0.6655148583275743,0.6748423265592152,0.6701461377870563,0.6094003241491086,0.5371428571428571,0.5709946848899012,16921.4,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 2, 'tfidf__max_df': 1.0, 'model__alpha': 1e-05}"
Complement Naive Bayes,Candidate,-17656.8,0.537746806039489,0.5683489298715133,0.48344188832975704,0.48638191928233016,21705,6.302264808362369,0.5381471389645777,0.5998481397114654,0.5673249551166966,0.5237278444825615,0.641906096706377,0.5768261964735516,0.6431718061674009,0.20857142857142857,0.3149946062567422,17656.8,"{'tfidf__sublinear_tf': False, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 1.0, 'model__alpha': 1.0}"
